Seq#	Kingdom	Phylum	Class	Order	Family	Genus	Species	V8	V9	V10	V11	V12	V13
Seq_1144	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	100	100	100	100
Seq_1145	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter	NA	100	100	100	100	100	100
Seq_1146	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	NA	100	100	100	100	100	100
Seq_1147	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA	NA	100	100	100	100	96	94
Seq_1148	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	NA	100	100	100	100	100	98
Seq_1149	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	98
Seq_1150	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	starrii	100	100	100	100	100	100
Seq_1151	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	100	100	100	100	100	100
Seq_1152	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	100
Seq_1153	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingoaurantiacus	NA	100	100	100	100	100	71
Seq_1154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter	NA	100	100	100	100	100	91
Seq_1155	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	95	95	85
Seq_1156	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	100	100	100	100	35
Seq_1157	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	NA	100	100	100	100	100	100
Seq_1158	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA	NA	100	100	100	100	99	99
Seq_1159	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	cellulosum	100	100	100	100	100	100
Seq_1160	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	100	100	100	100	99	99
Seq_1161	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Asanoa	NA	100	100	100	100	100	97
Seq_1162	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	NA	100	100	100	100	100	98
Seq_1163	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	NA	100	100	100	100	98	57
Seq_1164	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	NA	100	100	100	100	100	100
Seq_1165	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	96
Seq_1166	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	100	100	100	100	100	100
Seq_1167	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	100	42
Seq_1168	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Paludibaculum	NA	100	100	100	100	100	100
Seq_1169	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	100	100	100	100	100	100
Seq_1170	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_1171	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	NA	NA	NA	100	100	99	96	96	96
Seq_1172	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Hydrogenophaga	NA	100	100	100	100	100	55
Seq_1173	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	terrigena	100	100	100	100	100	100
Seq_1174	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA	100	100	100	100	100	100
Seq_1175	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	98	55	42	42	29
Seq_1176	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	100	100	100	100
Seq_1177	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1178	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	92
Seq_1179	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Chiayiivirga	NA	100	100	100	100	100	100
Seq_1180	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	aerocolonigenes	100	100	100	100	100	100
Seq_1181	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	100	100	100	100	100	100
Seq_1182	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA	100	100	100	100	99	99
Seq_1183	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	100	100	100	100	65	22
Seq_1184	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	95
Seq_1185	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	100	100	100	100	100	100
Seq_1186	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA	100	100	100	98	97	59
Seq_1187	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA	100	100	100	100	100	100
Seq_1188	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1189	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Stenotrophobacter	NA	100	100	100	100	100	96
Seq_1190	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	NA	NA	100	100	100	100	100	100
Seq_1191	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	100	100	100	100	100	100
Seq_1192	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Aridibacter	famidurans	100	100	100	100	100	99
Seq_1193	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	100	100	100	100	100	46
Seq_1194	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	100	100	100	100	99	99
Seq_1195	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	100	100	100	100	100	100
Seq_1196	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	100	100	100	100	100	100
Seq_1197	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	96	96	91
Seq_1198	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	100	99	26	23	22
Seq_1199	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	soli	100	100	100	100	100	100
Seq_1200	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	flava	100	100	100	100	100	96
Seq_1201	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	NA	100	100	100	100	100	95
Seq_1202	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA	100	100	100	100	100	100
Seq_1203	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	100	100	100	100	96	96
Seq_1204	Bacteria	Planctomycetes	OM190	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1205	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	100	100	100	100	100	99
Seq_1206	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1207	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	100	100	100	100	100	100
Seq_1208	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA	100	100	100	100	100	95
Seq_1209	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	92
Seq_1210	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	NA	100	100	100	100	100	100
Seq_1211	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_1212	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Neo-b11	NA	100	100	100	100	100	67
Seq_1213	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	100	100	100	100	100	100
Seq_1214	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	NA	100	100	100	100	100	100
Seq_1215	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	99	99	99	99	99	46
Seq_1216	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	100	93	80
Seq_1217	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA	100	100	100	100	100	95
Seq_1218	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Polyangium	NA	100	100	100	100	100	99
Seq_1219	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	66
Seq_1220	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA	100	100	100	100	100	100
Seq_1221	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Gemmata	NA	100	100	100	100	100	100
Seq_1222	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1223	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	NA	100	100	100	100	100	100
Seq_1224	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	terrae	100	100	100	100	100	93
Seq_1225	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA	100	100	100	100	100	98
Seq_1226	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	NA	100	100	100	100	100	99
Seq_1227	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	NA	NA	100	100	100	98	98	98
Seq_1228	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	NA	100	100	100	100	100	59
Seq_1229	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Pyrinomonadales	Pyrinomonadaceae	RB41	NA	100	100	100	100	100	100
Seq_1230	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA	NA	100	100	100	100	100	100
Seq_1231	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	NA	100	100	100	100	100	100
Seq_1232	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	NA	100	100	100	100	100	99
Seq_1233	Bacteria	Latescibacteria	NA	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1234	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	100	100	100	100	100	19
Seq_1235	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1236	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	98	92
Seq_1237	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1238	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA	NA	100	100	100	98	98	98
Seq_1239	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus_Jidaibacter	NA	100	98	97	95	94	72
Seq_1240	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	100	100	100	100	100	100
Seq_1241	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Edaphobacter	NA	100	100	100	100	100	100
Seq_1242	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	100	100	100	100	100	100
Seq_1243	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	NA	NA	NA	100	100	100	100	100	100
Seq_1244	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA	NA	100	100	100	100	100	100
Seq_1245	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA	100	100	100	100	100	100
Seq_1246	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter	NA	100	100	100	100	100	71
Seq_1247	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_1248	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	100	100	100	99	99	99
Seq_1249	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea	NA	100	100	100	100	100	69
Seq_1250	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	100	100	100	100	100	100
Seq_1251	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Amb-16S-1323	NA	NA	100	100	100	100	90	90
Seq_1252	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	100	100	100	100	100	67
Seq_1253	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	11-24	NA	NA	NA	100	100	100	100	100	100
Seq_1254	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	NA	100	100	100	100	100	100
Seq_1255	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA	100	100	100	99	99	99
Seq_1256	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA	100	100	100	100	100	100
Seq_1257	Bacteria	NA	NA	NA	NA	NA	NA	92	6	6	6	6	6
Seq_1258	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	A21b	NA	NA	100	100	100	100	100	100
Seq_1259	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA	100	100	100	100	100	100
Seq_1260	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	100	98
Seq_1261	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	100	9
Seq_1262	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	xanthii	100	100	100	100	100	98
Seq_1263	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	99
Seq_1264	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	80
Seq_1265	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	97
Seq_1266	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	NA	NA	100	100	100	100	100	47
Seq_1267	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	86
Seq_1268	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1269	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	98	98	74	74
Seq_1270	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	100	100	100	100	100	100
Seq_1271	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA	NA	100	100	100	100	99	73
Seq_1272	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	NA	100	100	100	100	94	93
Seq_1273	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	98
Seq_1274	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA	NA	100	100	100	100	79	77
Seq_1275	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	NA	100	100	100	85	85	44
Seq_1276	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	mle1-7	NA	100	100	100	100	91	87
Seq_1277	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	100
Seq_1278	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	NA	100	100	100	100	100	100
Seq_1279	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NA	NA	100	100	100	100	99	96
Seq_1280	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	100	100
Seq_1281	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	NA	100	100	100	99	99	40
Seq_1282	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	100	100	100	100	100	100
Seq_1283	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	99
Seq_1284	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	NA	NA	100	100	100	100	100	100
Seq_1285	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Chryseolinea	NA	100	100	100	100	100	68
Seq_1286	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	NA	100	100	100	100	100	100
Seq_1287	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Filimonas	NA	100	100	100	100	100	100
Seq_1288	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	100	100	100	100	100	100
Seq_1289	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	NA	100	100	100	100	100	100
Seq_1290	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA	100	100	100	100	100	100
Seq_1291	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	NA	100	100	100	100	100	100
Seq_1292	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	NA	100	100	100	100	100	100
Seq_1293	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA	100	100	100	100	100	100
Seq_1294	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	100	100	100	100	100	95
Seq_1295	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_1296	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema_CCAP_1459-11B	NA	100	100	100	100	100	100
Seq_1297	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	70	70	70
Seq_1298	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	91	91	91
Seq_1299	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	99	99	99
Seq_1300	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	100	100	100
Seq_1301	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	NA	100	100	100	100	100	100
Seq_1302	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	NA	100	100	100	100	100	100
Seq_1303	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	97
Seq_1304	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA	100	100	100	100	100	100
Seq_1305	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	79
Seq_1306	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	100
Seq_1307	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_1308	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	NA	100	100	100	100	100	58
Seq_1309	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	83
Seq_1310	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	100	100	100	100	98	98
Seq_1311	Bacteria	Gemmatimonadetes	S0134_terrestrial_group	NA	NA	NA	NA	100	99	99	99	99	99
Seq_1312	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	100
Seq_1313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	NA	100	100	100	100	100	100
Seq_1314	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	92
Seq_1315	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	100	100	100	100	100	100
Seq_1316	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA	100	100	100	100	100	65
Seq_1317	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	NA	100	100	100	100	100	58
Seq_1318	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Tahibacter	NA	100	100	100	100	100	88
Seq_1319	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	100
Seq_1320	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax	NA	100	100	100	100	100	100
Seq_1321	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA	100	100	100	99	99	99
Seq_1322	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	NA	NA	100	100	100	100	100	99
Seq_1323	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	100	100	100	100	100	100
Seq_1324	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14	NA	100	100	100	100	100	100
Seq_1325	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	maltophilia	100	100	100	100	100	100
Seq_1326	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_1327	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	100
Seq_1328	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	99	91
Seq_1329	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	100	100	100	100	100	100
Seq_1330	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	NA	NA	100	100	100	100	100	100
Seq_1331	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	100	100	100	100	100	100
Seq_1332	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	NA	NA	NA	100	100	100	100	98	98
Seq_1333	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	NA	100	100	100	100	100	100
Seq_1334	Bacteria	Rokubacteria	NC10	Rokubacteriales	NA	NA	NA	100	100	100	100	100	100
Seq_1335	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	NA	100	100	100	100	100	100
Seq_1336	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	100	100	34	34	34
Seq_1337	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	100
Seq_1338	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	NA	NA	100	100	100	100	100	88
Seq_1339	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	NA	100	100	100	100	100	100
Seq_1340	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	100	100	100	100	100	100
Seq_1341	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	100	100	100	100	100	82
Seq_1342	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terriglobus	NA	100	100	100	100	100	100
Seq_1343	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA	100	100	100	100	100	100
Seq_1344	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	100	100	100	98	97	97
Seq_1345	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	100	100
